features.properties.@id,Amenity_name,Latitude,Longitude,Terrace_Status
node/4449185678,Il Caffè di Francesco,"41,3908733","2,1652201",
node/4451904190,Bar Granadino,"41,4404153","2,2238276",
node/4451904193,La ciudad de oro,"41,4408727","2,2240695",
node/4451986792,Cafe Bar Florida,"41,4403503","2,2236929",
node/4451986793,Bar Amigo,"41,4411469","2,2238965",
node/4451988991,Bar Frankfurt Jaime,"41,4408051","2,2241201",
node/4451989090,Entre tapes,"41,4423118","2,2237245",
node/4451992791,Bar Leo,"41,4406309","2,2245529",
node/4452031691,Bar La Granja,"41,4427953","2,2241899",
node/4455238130,Anahuac,"41,3965161","2,1513989",
node/4461595656,Cafeteria de la Biblioteca Jaumer Fuster,"41,4075557","2,1493457",
node/4463386775,La Sandvitxeria SBD,"41,5485421","2,1093996",
node/4469874235,El Navegante,"41,2631413","1,9326846",
node/4469874236,Espai Canyars,"41,2893638","1,9837441",
node/4469877492,Punt de Trobada,"41,2877776","1,9864802",
node/4470059420,Mesón Gallego,"41,3818896","2,0709288",
node/4486639527,Boldú,"41,3973783","2,1517865",
node/4486683966,La Tagliatella,"41,3974141","2,1514101",
node/4503193765,Bicioci,"41,3999229","2,1619101",
node/4509411660,Bar Mediterráneo,"41,4343007","2,2180868",
node/4516538193,Más Que Sushi,"41,3774227","2,1527247",
node/4516600994,Salambó,"41,4044546","2,1576355",
node/4520259289,Cachitos,"41,3953057","2,1536913",
node/4559921014,Restaurant Suis,"41,5478349","2,1147563",
node/4572063790,Cafetería 365,"41,3744652","2,1675541",
node/4580509208,La Ceverseria,"4,1402781","2,1583233",
node/4580517495,Cadaqués,"41,4004717","2,1574102",
node/4583807040,San Taco,"41,3669628","2,0150932",
node/4591423938,Arabia Cafe,"41,3796023","2,1762764",
node/4602957463,Otafuku Daifuku,"41,3861633","2,1813225",
node/4631918790,Casa López,"41,4047191","2,1550626",
node/4643223187,Bun Bo Gótico,"4,1385069","2,1749973",
node/4643974106,Kyoka Via Augusta,"41,3979693","2,1315017",
node/4654613659,afiparc,"41,4134414","2,1527296",
node/4668687590,Can Vilaró,"41,3779004","2,1617005",
node/4673198082,Montesquiu,"41,4046825","2,1325233",
node/4676080734,Las Palmeras,"41,5583259","2,5026029",
node/4680760647,Pepa Tomate Mandri,"41,4048203","0,2132357",
node/4680760648,Sushi Taller,"41,4048621","2,1326565",
node/4681801089,Orxateria la Valenciana,"41,3863413","2,1622578",
node/4704972453,majide,"41,3849224","2,1674688",
node/4709933976,Sottovoce,"41,3579226","2,1294974",
node/4710869114,Casa Moritz,"4,1391956","0,2161896",
node/4711659235,Casa Lolea,"41,3888056","2,1771897",
node/4720526074,El Charrito,"41,3896183","2,1662427",
node/4721286889,Prodigi,"41,3985973","2,1659559",
node/4726582894,Catalina Cafe,"41,3862071","2,1793039",
